headline,status,founded,dateOfInvestment,management,location,segment,investment,investmentType,website,Description,id,contentType,businessModel,subheadline,exit
Opinary,Active,2015,2017-12-01T00:00+01:00,"Cornelius Frey
Max Meran
Pia Frey","Berlin (Germany)
New York (USA)",Marketing,Series A,VC,https://opinary.com/de/home-de/,Opinary is a Berlin-based startup that has established a new way for users to share their opinions in online content. The startup was founded 2015 by the siblings Pia and Cornelius Frey and their Co-Founder Max Meran to help more than 70 million monthly users to share their view with a tap and understand opinion trends at a glance.,1QYwPd4wz2LU4utJhoEqCF,venture,Marketplace,Making opinions matter,"Opinary visualizes debates by creating highly engaging content for users. With their algorithm and semantic targeting, they guarantee a scalable integration of needed topics in all thematically relevant articles within large publisher networks in Germany, the UK, and the US. The platform offers users the opportunity to engage with interactive content that gives users a voice, helping publishers and brands reach, understand and convert their most valuable audiences.
Publishing partners – including global leaders like The Times, HuffPost, NBC etc., use Opinary to engage and monetize their audiences, while global brands like Toyota or Mastercard boost attention, create conversions and generate insights."
LUQOM Group,Active,2017,2017-11-01T00:00+01:00,"Jochen Wilms (CEO)
Dr. Oliver Merz (Co-CEO & CFO)
Thomas Rebmann
Erik Jansen
Morten Brændgaard",Schlitz (Germany),Commerce,Later Stage Acceleration,PE Co-Investment,https://www.luqom.com/,"LUQOM GROUP is the leading e-commerce platform for lighting fixtures in Europe. The company operates across the entire value chain of the lighting industry and provides over 500 suppliers with direct access to private (B2C) and commercial (B2B) customers across 27 countries. LUQOM GROUP combines a supplier and retail partner network with five logistics centres, as well as three online shops and private label brands. LUQOM GROUP includes the well-established online shops of Lampenwelt (Germany), QLF (Benelux) and Lampemesteren (Denmark).",1tbGKCXZqIDTKFTXm9QjDy,venture,B2C,Europe's leading e-commerce platform for lighting fixtures,"





"
Comtravo,Active,2015,2017-06-01T00:00+01:00,"Michael Riegel
Jannik Neumann",Berlin (Germany),Travel & Hospitality,Series A,VC,https://www.comtravo.com/en/,"Comtravo’s software translates text requests such as email into structured queries using natural language processing (NLP) and artificial intelligence technology to provide the best travel options for individual travelers based on specified preferences as well as previous booking behavior. This way, users can quickly book personalized offers with one click directly in the email.",3Io7MQKCeQdKS3JjV4plQ7,venture,B2B - Enterprise,AI booking platform for business travel,"Comtravo was founded in July 2015 by Michael Riegel, Jannik Neumann, Marko Schilde and Slobodan Utvic together with a highly experienced team of travel and tech veterans. By now, Comtravo is employing a team of 45 people, half of it focusing on their AI technology and the product. More than 200 companies, mainly headquartered in Germany, are already working with Comtravo, e.g. Hellofresh, Viessmann or Fexcom."
misterb&b,Exited,2014,2017-05-01T00:00+01:00,"Matthieu Jost
Marc Dedonder
François de Landes
Chris Sinton","Paris (France)
Los Angeles (USA)
Lima (Peru)",Travel & Hospitality,Series A,VC,https://www.misterbandb.com/,"Founded in 2014 by Matthieu Jost, Marc Dedonder, François de Landes and Chris Sinton, misterb&b is the world’s largest marketplace connecting like-minded travellers and hosts in the LGBT community. They are able to list, discover and book welcoming accommodations worldwide with 100,000 hosts in over 135 countries. misterb&b will further pursue its global approach to bringing gay men and women together in real-life experiences while expanding its operations in Paris, Los Angeles and Lima. misterb&b’s free app is available on iOS, Android and the web.",HIf4HOWPUO93VHVKdb9dt,venture,Marketplace,The largest gay hotelier in the world,NaN
Gabi,Active,01/2016,2017-01-01T00:00+01:00,"Hanno Fichtner
Krzysztof Kujawa
Vincenz Klemm
Pawel Olszewski",San Francisco (USA),InsurTech,Seed,VC,https://www.gabi.com,"Gabi is a personal insurance platform that ensures customers always have the right coverage at the best price. Gabi has launched in CA in January 2017 and is backed by A Capital, Project A, SV Angel and a group of angels. It was founded in 2016 by Hanno Fichtner, Krzysztof Kujawa, Vincenz Klemm and Pawel Olszewski.",53S1T5Sv0lXW4PdyLYX6IS,venture,B2C,Insurance rate monitoring service,NaN
HelloPrint,Active,05/2013,2016-10-03,"Hans Scheffer
Michael Heerkens","Rotterdam (The Netherlands)
Valencia (Spain)",Commerce,Venture Round,PE Co-Investment,https://www.helloprint.de/,"Founded in 2013, Helloprint’s platform business is expanding rapidly into the European market. Currently, over 150.000 customers in the Netherlands, Belgium, France, Italy, United Kingdom, Spain, Germany and Ireland are ordering their printed products via the platform. Via a network of hundreds of international print and promotional producing partners over 2.000 unique printed products are available for its customers, anywhere and when they need it. The company operates from Rotterdam, The Netherlands, where it has its European HQ, and from Valencia, Spain, where the international Customer Experience Center is located.",657w2N4cVOn3bgYPPtsMNv,venture,B2B - SMB,Online print platform,NaN
Onlineprinters,Active,2004,2016-10-01T00:00+01:00,"Roland Keppler (CEO)
Dirk A. Müller (CFO)
Christian Würst (CCO)","Neustadt (Germany)
Aisch (Germany)",Commerce,Later Stage Acceleration,PE Co-Investment,https://www.diedruckerei.de/,"Onlineprinters GmbH is one of Europe's leading online print providers. In line with the motto ""Print simply online!"" the company sells printed products to 500,000 customers in 30 European countries through its 15 web shops. Internationally, the company is known under the brand name ""Onlineprinters""; in Germany it operates under the name ""diedruckerei.de"". The product range comprises 1,400 printed products from business cards, stationery and flyers to catalogues, brochures and large-format advertising systems. The formula to successfully produce customised prints in terms of Industry 4.0 rests on three pillars: online sales, fully integrated production from ordering to shipping and gang run printing. The latter uses so-called combined forms to collectively produce print jobs, therefore minimising costs and reducing the environmental impact. Selected products allow customers to choose the option of same day printing (produced on the same working day), overnight delivery, climate neutral production and custom size specification. Onlineprinters GmbH employs a staff of 600 and produces over two billion printings per year.",4XQz8O3tuWctnTMb3zVChR,venture,B2C,High quality online printed products,NaN
Keatz,Exited,01/2016,2016-09-01T00:00+01:00,"Paul Gebhardt
Dimitrios Ploutarchos",Berlin (Germany),Food & Agriculture,Seed,VC,NaN,"Keatz (former GuruCollectiv) is a virtual restaurant chain delivering healthy foods such as salads, quinoa bowls, yogurts, mueslis and cold pressed juices. The company's goal is to become the leading household and office brand for on-demand fast casual delivery food. Keatz exclusively focuses on fresh salads and other ready-to-eat snacks, which are delivered through ecofriendly electric scooters. Keatz was founded in January 2016 by Paul Gebhardt and Dimitrios Ploutarchos.",1cEbuBmi1QsHrKDmIrgQ1F,venture,B2C,The virtual restaurant chain for fresh and healthy food,NaN
Kry,Active,2014,2016-08-01T00:00+01:00,"Johannes Schildt
Fredrik Jung Abbou

",Stockholm (Sweden),Digital Health,Seed,VC,https://kry.health/,"Kry is the European leader in digital healthcare, providing patients with the means to see a doctor, nurse or psychologist via video or chat on their smartphone or tablet. Kry also combines digital with physical care transforming how millions of patients access",6CHCOZVyW07btlNO1pwehD,venture,B2C,"European leader in digital healthcare, providing patients with the means to see a doctor, nurse or psychologist via video or chat",NaN
Klara,Active,2013,2016-08-01T00:00+01:00,"Simon Bolz
Dr. Simon Lorenz","New York (USA)
Berlin (Germany)",Digital Health,Seed,VC,https://www.klara.com/,"Klara was founded in 2013 with the vision to change the broken healthcare experience by directly connecting doctors and patients through technology. Klara’s secure and HIPAA-compliant medical messaging platform allows providers and patients to centralize all their medical communication in one simple and secure app. Doctors and their teams can collaboratively treat and communicate with their patients, adding external providers and other medical partners (such as pharmacies, labs and insurance companies) to the conversation to streamline patient care. Klara has been founded in 2013 by Simon Bolz und Dr. Simon Lorenz with offices in New York and Berlin.",2QtWXbgoNGe07aldSV9WNF,venture,B2B - SMB,The healthcare messaging platform,NaN
store2be,Exited,2015,2016-07-01T00:00+01:00,"Dr. Marlon Braumann
Peter Gundel
Emil Kabisch
Sven Wissebach",Berlin (Germany),Business Software,Seed,VC,https://www.store2be.com/de/start/,"store2be provides companies and agencies interested in advertising their goods or services with the possibility to book measurable and scalable live communication directed precisely at target groups. With a couple of clicks, spaces for advertisements and promotional actions in shopping centres and at independent retailers, institutes of higher education, cinemas and events can be leased temporarily on store2be.com. In addition, store2be offers the possibility to book additional services such as help with setting up stands, logistical assistance or even personnel. All of the important elements for successful live communication can thus be obtained all in one convenient package from a single provider. In the process, store2be makes appropriate recommendations for its customers’ needs regarding frequency and target groups. Over 1,000 spaces all across Germany are already available for booking through store2be.com today. store2be.com is managed by WHU alumni Dr. Marlon Braumann and Sven Wissebach and KIT graduates Emil Kabisch and Peter Gundel. store2be was founded in 2015 in the context of the Karlsruhe-based incubator CyberLab and has been officially headquartered in Berlin since summer 2016.",76WHRr8S7YAZ2l1VbZJWN9,venture,Marketplace,"Targeted, measurable and scalable live communication",NaN
Homeday,Active,2014,2016-04-01T00:00+01:00,"Steffen Wicker
Dmitri Uvarovski
Philipp Reichle
Friederike Hesse",Berlin (Germany),Real Estate & Construction,Series A,VC,https://www.homeday.de/de/,"Selling and buying real estate is getting easy and convenient: Homeday defines the new quality standards in real estate. Homeday combines in-depth market intelligence with daily updated data on market conditions,and pricing; and innovative technologies with professional, personal advice. Homeday experts develop tailor-made marketing strategies that perfectly fit the object and the people behind it.
In 2014 Homeday was founded by Steffen Wicker, Dmitri Uvarovski and Philipp Reichle. Today a team of more than 60 employees supports sellers and buyers; from the intention to sell to signing the contract throughout the whole process.",2Xocu94vFLe7p9ol8A7o5F,venture,B2C,Data-driven real estate divestment,Read 
Qunomedical,Active,2015,2016-03-01T00:00+01:00,"Dr. Sophie Chung
Dr. Sebastian Glöckner",Berlin (Germany),Digital Health,Seed,VC,https://www.qunomedical.com/en/,Qunomedical is a medical travel provider that helps patients worldwide to find high-quality care abroad at an affordable price. The Berlin-based startup was founded in 2015 and enables patients to get offers from clinics for almost any kind of treatment and to choose the most suitable offer with ease. The company only cooperates with renowned clinics and hospitals which adhere to the highest certification standards and which are highly experienced in dealing with international patients. Qunomedical’s passionate team of experts is led by Doctor Sophie Chung.,36fsefscMlMsP2GpT3KVeI,venture,B2C,Medical treatments abroad,NaN
Wonderbly,Exited,2012,2016-01-01T00:00+01:00,"Asi Sharabi
Robert May (CMO)",London (UK),Commerce,Series A,VC,https://www.wonderbly.com/,Wonderbly is an award winning publishing startup that plays in the intersection of storytelling and technology. Wonderbly is on a mission to inspire boundless self-belief in children through clever and sophisticated personalization. The company is building a new class of global publishing business that brings millions of people into our superbly high quality products - as creators and audiences - and in doing so empowers them to build connections with each other and with us.,5k0GpyQrthgfcxx2hcuipY,venture,B2C,Personalized storytelling for kids,"

"
kfzteile24,Active,2001,2015-12-01T00:00+01:00,"Markus Winter
Bernd Humke",Berlin (Germany),Commerce,Later Stage Acceleration,PE Co-Investment,https://www.kfzteile24.de/,"kfzteile24 is a Berlin-based multichannel retailer in the field of car parts and accessories which provides car parts for hobbyists and professionals alike. The company generates most of its revenue via their online shops www.kfzteile24.de and www.autoteile24.de. In addition to their online shops, they run three chain stores with attached workshops in Berlin. kfzteile24 was founded in 2001 by Matthias Kieper and Torsten Hainke.",13KMsMN6c9jtSXlcSjIIn6,venture,B2C,The address for car parts and accessories,NaN
CrossEngage,Active,2015,2015-10-01T00:00+01:00,"Dr. Markus Wübben
Manuel Hinz",Berlin (Germany),Marketing,Seed,VC,https://www.crossengage.io/,"CrossEngage is the Customer Data and Prediction Platform for growing marketers’ customer base into valuable, individual customer relationships. CrossEngage offesr a seamlessly integrated solution for handling user behavior and predictions that smartly leverages the power of your first-party customer data using best-in-class artificial intelligence (AI) and automated machine learning (AutoML). With almost 60 employees, CrossEngages works in Berlin and Hamburg. The customers include Deutsche Bahn, FOND OF, Peek & Cloppenburg, Scout 24, and Depot.

",3zHCrUY3otGglNuejSwYHg,venture,B2B - Enterprise,The customer engagement platform for cross-channel marketing and CRM,NaN
Liqid,Active,2015,2015-08-01T00:00+01:00,Christian Schneider-Sickert,Berlin (Germany),FinTech,Seed,VC,https://www.liqid.de/de,"At the core of LIQID is an intuitive digital platform. LIQID combines the competence, instruments and conditions of exclusive family offices, which up until now have been reserved for ultra-high net worth individuals alone, and makes them available to the target group of successful entrepreneurs and wealthy individuals of a new generation. The company’s investment strategies for digital and mobile use were developed together with HQ Trust, the renowned multi-family office of the Harald Quandt Family. The company LIQID Investments GmbH was established in February 2015 by an internationally experienced five-member founding team, which includes media manager and entrepreneur Christian Schneider-Sickert as well as manager and private banker Dr. Kyros Khadjavi.",dZuq9r6doPJ0FpcKhxBkS,venture,B2C,Data-driven platform for private wealth management,NaN
PETS DELI,Exited,2014,2015-08-01T00:00+01:00,David Fuchs,Berlin (Germany),Commerce,Seed,VC,https://www.petsdeli.de/,"Pets Deli, the Berlin-based multichannel pet food brand, has the mission to deliver fresh and healthy pet food for caring pet owners. All products, like basic food, supplements, snacks and dried meat, are 100% food-grade quality, natural and species-appropriate. Besides their webshop, Pets Deli runs two stationary shops in Berlin. The company was founded in January 2014 by David Spanier and David Reinecke.",1EdJPePXhE9nJTjI1l7Vdg,venture,B2C,Fresh and natural pet food for cats and dogs,NaN
Horizn Studios,Exited,2015,2015-03-01T00:00+01:00,"Stefan Holwe
Jan Hendrik Roosen
Margarete Schellong",Berlin (Germany),Commerce,Seed,VC,https://horizn-studios.com/en/,"Horizn Studios is an online-first travel brand headquartered in Berlin. Their team of engineers and designers develops innovative travel products and services for the digital age. From the brand’s iconic range of smart luggage to its innovative travel essentials and services, each product is designed to help you travel with ease and joy. Launched in 2015 by Stefan Holwe and Jan Roosen, Horizn is Europe’s leading luggage brand for the next generation.",1rZETASo2dP8MAGZjvunKG,venture,B2C,E-Commerce luggage brand,NaN
Coureon,Exited,2015,2015-01-01T00:00+01:00,"Federico Frascà
Jochen Michaelis",Berlin (Germany),Mobility & Logistics,Seed,VC,http://www.coureon.com/de/,"Coureon Logistics is a new digital logistics provider for national & international parcel shipping. The Coureon platform combines multiple 3rd party logistics fleets into a unique network. Online merchants, SMEs, and enterprise clients can ship to over 190 destinations and save between 20% and 50% on their shipping costs, without any upfront investment and with just one integration. The company cooperates with over 100 logistics players worldwide. Coureon was founded in 2015 by Federico Frascà in Berlin.",RFQLOlXVqdcefXouui0sN,venture,B2B - SMB,Worldwide shipping for merchants,NaN
ESV Digital Brazil,Active,2013,2015-01-01T00:00+01:00,Thyago Acosta,São Paulo (Brazil),Marketing,Joint Venture,VC,https://www.esvdigital.com,"ESV Digital Brazil employs a team of cross-channel analysts and program managers who use the comprehensive inhouse technology ESV platform to manage clients’ accounts and support technology licensees. It combines tracking, reporting, and bid management in one platform alongside a suite of power-tools such as automated campaign analysis, mass updates, catalogue methodology, raw request. The platform is a tool for any paid search marketer trying to leverage maximum benefit from paid search. Headquartered in Paris, with offices in London, New York, San Francisco, Ann Arbor, Madrid, Milan, Oslo, Bertrange and now São Paulo, ESV Digital Group employees over 200 digital marketing professionals who are working with more than 250 clients.",76yOkdpJMORJHRYvFwFICe,venture,Marketplace,Digital marketing agency and global technology provider,"ESV Digital Brazil is part of ESV Digital Group and was launched in January 2014 by its founders and managing directors Alexa Gaspar and Mariana Oliveira. The digital marketing agency and global technology provider offers expertise in Digital Marketing Strategies and traffic acquisition through paid search, performance display, social media, mobile advertising and many others tatics. In June 2014, they merged with the Brazilian RTB display advertising agency Adtrade, that was founded in July 2013 by Robson del Fiol and Fernando Galender."
Spryker Systems,Active,2014,2014-11-01T00:00+01:00,"Alexander Graf
Boris Lokschin","Hamburg (Germany)
Berlin (Germany)",Business Software,Joint Venture,VC,https://spryker.com/,"Spryker Systems provides the proprietary commerce framework Spryker, a customizable and scalable solution for corporations. The company was founded in November 2014 by Nils Seebach and Alexander Graf as a Joint Venture with Project A Ventures. Based on PHP architecture and with its modular approach, Spryker enables retailers to quickly adapt, scale and innovate their digital business. Individual requirements can easily be integrated in order to meet customer needs, including data driven approaches in the fields of Business Intelligence, CRM, and Online Marketing. Spryker has been developed under the leadership of Project A's CTO Fabian Wesner as well as co-founder and Managing Director Dr. Florian Heinemann. The framework has been deployed for numerous successful e-commerce businesses such as Tirendo, nu3 or Contorion.",1QNhPt0BaiB2OjRJb980SB,venture,B2B - Enterprise,Commerce OS - more than a shop system,NaN
ProCompra,Exited,2014,2014-10-07,"David Lira, Rafael Catole",São Paulo (Brazil),Marketing,Seed,VC,NaN,"ProCompra is a marketplace connecting providers and buyers of premium services & products with the mission to facilitate purchase decisions for SMEs in Brazil. As a B2B lead generation platform, ProCompra provides buyers with three offers from independent local suppliers. This allows more qualified purchasing decision. ProCompra was founded in September 2014 as an incubation project of Project A Ventures Latam.",48rMxr7BQlGGfpP4uNkjL6,venture,Marketplace,B2B lead generation platform,NaN
Treatwell,Exited,2012,2014-10-01T00:00+01:00,"Maarten Engelen
Laurens Groenendijk
Erik Wienk
Martijn Rozendaal
Jan Willem van Boeckel",Amsterdam (The Netherlands),Commerce,Series A,VC,https://www.treatwell.com/,"With over 2,500 connected spas and salons in more than 50 cities in The Netherlands, Belgium and Germany, Treatwell is the biggest and fastest growing online marketplace for hair and beauty services in Continental Europe. The company was established by five co-founders, went live in October 2013, and has seen month-on-month growth of 20%. Treatwell allows consumers to search, compare and book treatments via its website or app, and offers spas and salons a free lightweight SaaS solution to help support new and loyal customers in their user experience.",3pp7BgaoqHhRmNfS27ogSW,venture,Marketplace,Marketplace for hair and beauty treatments,Exited in June 2015 to Wahanda (€ 34 million)
Catawiki,Active,2008,2014-09-01T00:00+01:00,"Ravi Vora
Frederik de Beer
Tyler Miller",Amsterdam (The Netherlands),Commerce,Series B,VC,https://www.catawiki.com/,"The company was founded in 2008 by a Dutch comic book collector and a Dutch developer as a community for collectors. Since 2011, Catawiki has been hosting weekly auctions for special objects, from comic books to classic cars and everything in between. In-house experts curate every auction, guaranteeing varied, high-quality selections of auction lots. Catawiki's unique payment system also provides buyers and sellers with a secure and simple means of transaction. With millions of visitors from across the world every month, Catawiki is the most trusted place for selling high-quality and hard-to-find objects online.",2cPrASd4RUuKs2G4e8hPou,venture,Marketplace,Curated online auctions for exceptional objects,NaN
Intelipost,Exited,2014,2014-08-01T00:00+01:00,"Stefan Rehm
Gabriel Drummond",São Paulo (Brazil),Mobility & Logistics,Series A,VC,https://www.intelipost.com.br/en/,"Intelipost is a Software as a Service company based in São Paulo, Brazil. With its Logistics Gateway API it connects e-commerce businesses to all main Brazilian logistics providers. In its unique platform, the company integrates the comparison and quotation of various transportation options as well as delivery tracking. Generating insights through automated Business Intelligence solutions Intelipost provides real time updates on freight costs, average delivery times and the overall quality score of the different providers. Thus it enables its customers to manage the entire delivery process and to optimize the logistics costs and efficiency of their operations. Intelipost was founded in March 2014 by CEO Stefan Rehm and Gabriel Drummond.",1XVkFEjbU60oxyIE2ydBEv,venture,B2B - Enterprise,Logistics gateway for e-commerce,NaN
Loopline Systems,Exited,2014,2014-07-01T00:00+01:00,"Nora Heer
Christian Kaller",Berlin (Germany),HR,Series A,VC,https://www.loopline-systems.com/de/home,"Loopline Systems offers a lightweight SaaS solution which is easy to implement and provides ongoing, actionable insights for executives and employees by linking data on performance with personal potential and contentment. By means of guided processes, loopline fosters individual commitment, enabling high-quality feedback and development. The Berlin-based company was founded in 2014. The founders Nora Heer and Christian Kaller were no strangers to the challenges attached to setting up a top notch performance-development tool for the enterprise market on the organizational and individual level: Combining more than ten years of HR experience with a background in entrepreneurial, technology-driven companies as well as leading corporations. In startups and small companies loopline drives professional maturing of HR, while dynamizing performance development in larger organizations.",6uqkNGJELug6lkJG24ha9i,venture,SaaS,Lightweight Cloud Solution For Managing Performance Reviews,NaN
Contorion,Exited,2014,2014-04-01T00:00+01:00,"Dr. Frederick Roehder
Dr. Richard Schwenke
Tobias Tschötsch",Berlin (Germany),Commerce,Seed,VC,https://www.contorion.de/,"Contorion is an online store for industrial and trade supply. The extensive assortment covers a wide range of product categories, from screws to electrical and hand tools to work clothes of many renowned manufacturers. With high user-friendliness, a professional customer service and short delivery times Contorion would like to be the one-stop shop for business and private customers. The company was founded by Dr. Frederick Roehder, Dr. Richard Schwenke and Tobias Tschötsch in Berlin in the spring of 2014.",ZKUET57fcOqU000o3ra0x,venture,B2B - SMB,Parts for pros: The one-stop shop for MRO parts,Exited in June 2017 to Hoffmann SE.
WorldRemit,Active,2010,2014-02-01T00:00+01:00,"Breon Corcoran (CEO)
Ismail Ahmed (Founder, Executive Chairman)",London (UK),FinTech,Series A,VC,https://www.worldremit.com/,"WorldRemit is an online service that lets people send money to friends and family living abroad, using a computer, smartphone or tablet. It is a convenient, low-cost alternative to traditional money transfer companies that use high street agents and charge unreasonable fees. Money can be received as a bank deposit, cash pick-up, Mobile Money, or mobile airtime top-up. WorldRemit’s service is available to senders in 50 countries. It offers transfers to more than 140 destinations across Europe, Asia, Africa, Australia and the Americas.",5yns6Xf32XXCUMc5S7Tk1x,venture,B2C,International online money transfer service,NaN
ZenMate,Exited,2013,2013-09-03T00:00+01:00,"Andrei Mochola
Jörn Stampehl",Berlin (Germany),Cybersecurity,Seed,VC,https://zenmate.com/,"ZenMate is the first product by ZenGuard, a startup based in Berlin. The company wants to improve internet security for its users and make it accessible to the general public. The browser add-on ZenMate’s functionality, is similar to a VPN connection and can be added with just one click. Once installed, ZenMate encrypts browser traffic, unlocks geo-restrictions and hides the original IP in order to protect the user’s privacy and identity. Because of its easy handling and advanced functionality, the plugin provides home network, WiFi and en route security. ZenMate is available on multiple browser platforms (Chrome, Opera, Firefox), as an app (android, iOS) and desktop version (Win, Mac), and therefore offers secure protection in any situation. Under the „ZenMate“ brand there are additional products available, for example the web firewall ZenMate Pulse and the mobile security solution ZenMate Sense. Altogether this offers a complete protection portfolio to its end clients. Zenguard was founded in 2013 by CEOs Simon Specka and Markus Hänel in Manchester and belongs to the first funding round of Axel Springer’s Plug and Play programs.",6bHYBkOGz2XEax83XChsLg,venture,B2C,Surfing the internet encrypted and securely,NaN
